latitude,longitude,event_date,OrgName,Location (State),Primary CI Sector targeted,Secondary CI Sector,Strain/Group,Ransom Amount,Local Currency,RansomScale,PaidStatus,,AmtPaid
39.0639,-94.58,8/6/2019,Truman Medical Centers,MO,Healthcare and Public Health,,,,,,Yes,,
43.0731,-89.4012,8/26/2019,Percsoft and the Digital Dental Record,WI,Information Technology,Healthcare and Public Health,Revil/sodinokibi,,,,Yes,,
33.2098,-87.5692,10/1/2019,"(3) DCH Health System hospitals (Tuscaloosa, Fayetter, and Northport, AL)",AL,Healthcare and Public Health,,Ryuk,,,,Yes,,
27.9943,-82.5944,10/13/2019,TrialWorks (MSP),FL,Information Technology,,,,,,Yes,,
NA,NA,10/15/2019,LifeLabs,Canada,Healthcare and Public Health,,,,,,Yes,,
40.9312,-74.0721,12/2/2019,Hackensack Meridian Health,NJ,Healthcare and Public Health,,,,,,Yes,,
50.8514,5.6901,12/23/2019,Maastricht University,Netherlands,Education Facilities,,,30 bitcoin,"$300,000 ",$1000000 or less,Yes,bitcoin,30 bitcoin
37.7749,-122.4194,12/24/2019,Synoptek,CA,Information Technology,,Revil/sodinokibi,,,,Yes,,
42.7483,-73.8027,12/25/2019,Albany International Airport,NY,Transportation Systems,,,Undisclosed bitcoin,"$10,000+ but less than 6 figures",$50000 or less,Yes,Bitcoin,Undisclosed bitcoin
51.5074,-0.1278,12/31/2019,Travelex,UK,Financial Services,,Revil/sodinokibi,4.6 million euro,$6 million,More than $5000000,Yes,Bitcoin,285 Bitcoin ($2.3 million)
33.8003,-117.9189,1/1/2020,Communications and Power Industries (CPI),CA,Critical Manufacturing,,,"$500,000 ","$500,000 ",$1000000 or less,Yes,,"$500,000"
44.829,-122.793,1/1/2020,Kiezer,OR,Government Facilities,,,,,,Yes,,"$50,000"
45.548,-123.8427,1/22/2020,Tillamook County,OR,Government Facilities,,Revil/sodinokibi,,,,Yes,,300000
35.2859,-105.4384,1/31/2020,San Miguel County,NM,Government Facilities,,,43 bitcoins,"around $500,000",$1000000 or less,Yes,bitcoin,"24 bitcoins ($250,000)"
40.4256,-77.0639,4/10/2020,"Borough of Duncannon (Perry County, PA)",PA,Government Facilities,,,"$40,780 ","$40,780 ",$50000 or less,Yes,,"$43,000"
29.7604,-95.3698,4/20/2020,Benefit Recovery Specialists Inc (BRSI),TX,Financial Services,,Maze,,,,Yes,,
NA,NA,5/1/2020,BlackBaud (Cloud provider),USA,Information Technology,,,,,,Yes,,
53.9576,-1.0873,5/1/2020,University of York,UK,Education Facilities,,,,,,Yes,,
37.7749,-122.4194,6/1/2020,University of San Francisco (UCSF),CA,Education Facilities,,NetWalker,Undisclosed bitcoin,$3 million,$5000000 or less,Yes,Bitcoin,1.14 million (116 bitcoin)
NA,NA,6/1/2020,Unnamed small company,KY,Critical Manufacturing,,,"$400,000 in bitcoin","$400,000 ",$1000000 or less,Yes,Bitcoin,"$150,000"
32.0853,34.7818,6/1/2020,Sapiens (Software Company),Israel,Information Technology,,,$250000 in bitcoin,"$250,000 ",$1000000 or less,Yes,Bitcoin,"$250,000"
41.8708,-87.6505,6/3/2020,Columbia College of Chicago,IL,Education Facilities,,NetWalker,Undisclosed bitcoin,,,Yes,,
34.7998,-87.6773,6/5/2020,"City of Florence, Alabama",AL,Government Facilities,,DoppelPaymer,39 bitcoin,"$378,000 ",$1000000 or less,Yes,Bitcoin,291000 (30 bitcoin)
44.829,-122.793,6/10/2020,"City of Keizer, Oregon",OR,Government Facilities,,,48000,48000,$50000 or less,Yes,,"$48,000"
40.7608,-111.891,7/19/2020,University of Utah's College of Social and Behavioral Science,UT,Education Facilities,,,,$457.059.24,$1000000 or less,Yes,,"$457,059.24 "
38.9717,-95.2353,7/23/2020,Garmin,KS,Communication,Transportation Systems,WastedLocker,10 million USD,10 million USD,More than $5000000,Yes,,
39.9873,-105.098,8/1/2020,"City of Lafayette, Colorado",CO,Government Facilities,,,,"$45,000 ",$50000 or less,Yes,,"$45,000 "
39.9526,-75.1652,8/1/2020,Southeastern Pennsylvania Transportation Authority (SEPTA),PA,Transportation Systems,,,,,,Yes,,
32.0853,34.7818,9/1/2020,Tower (wireless chip and camera sensors manufacturer),Israel,Information Technology,,,,"""hundreds of thousands of dollars""",$1000000 or less,Yes,,"""hundreds of thousands of dollars"""
40.6953,-80.2867,9/22/2020,Milcreek Township,PA,Government Facilities,,,,"$250,000 ",$1000000 or less,Yes,,Less than $250000
29.7604,-95.3698,9/23/2020,Tyler Technologies,TX,Information Technology,Government Facilities,RansomExx/defray,,,,Yes,,
40.4864,-86.1336,9/25/2020,Kokomo-Howard Public Library,IN,Education Facilities,,,4 bitcoin,"$43,000",$50000 or less,Yes,Bitcoin,"3.36 bitcoin ($36,000)"
37.7749,-122.4194,10/24/2020,Online storage vendor of Harvard Eye Associates,CA,Healthcare and Public Health,,,,,,Yes,,
NA,NA,11/15/2020,K12 (AKA Stride Inc),USA,Education Facilities,,Ryuk,,,,Yes,,
39.897,-75.3454,11/28/2020,Delaware County,PA,Government Facilities,,DoppelPaymer,,"$500,000",$1000000 or less,Yes,,"$500,000"
51.5074,-0.1278,1/17/2021,FatFace,UK,Commercial Facilities,,Conti,213 bitcoin,$8 million,More than $5000000,Yes,,$2.65  million
41.9188,-70.6678,2/9/2021,Sturdy Memorial Hospital,MA,Healthcare and Public Health,,,,,,Yes,,
42.0285,-87.6725,3/21/2021,CNA Financial (Insurance Giant),IL,Financial Services,,Phoenix CryptoLocker,,$60 million,More than $5000000,Yes,,$40 million
NA,NA,3/29/2021,Yoshiba Foods,OR,Food and Agriculture,,,$107k worth of cryptocurrency,"$107,000 ",$100000 or less,Yes,Cryptocurrency,"$107,074.20 "
NA,NA,5/1/2021,Brenntag,"Germany, North America",Chemical,,,133.65 bitcoin,$7.5 million,More than $5000000,Yes,,$4.4 million
NA,NA,5/7/2021,Colonial Pipeline,USA,Transportation Systems,Energy,DarkSide,,,$5000000 or less,Yes,bitcoin,$4.4 million (75 bitcoin)
NA,NA,5/30/2021,JBS (meat processor),Global,Food and Agriculture,,Revil/sodinokibi,,,More than $5000000,Yes,Bitcoin,$11 million
29.549,-97.4686,6/18/2021,Judson ISD,TX,Education Facilities,,,,,$1000000 or less,Yes,,"$547,000"
37.0842,-94.5133,7/7/2021,City of Joplin,MO,Government Facilities,,,,,$1000000 or less,Yes,,"$320,000"
39.2074,-96.1236,9/17/2021,Pottawatomie County,KS,Government Facilities,,,,,,Yes,,"""less than 10% of the hackers' original demands"""
NA,NA,10/31/2021,Handa Hospital,Japan,Healthcare and Public Health,,LockBit,,$60k,$100000 or less,Yes,,$30k
NA,NA,11/30/2021,Conseil des écoles publiques de l’Est de l’Ontario (School District),Canada,Education Facilities,,,,,,Yes,,
NA,NA,1/15/2022,Horizon Actuarial Services,USA,Financial Services,,,,,,Yes,,
39.7595,-122.2251,5/10/2022,Glenn County Office of Education,CA,Education Facilities,,Quantum,$1 million+ in bitcoin,$1 million+,$5000000 or less,Yes,bitcoin,$400k
